year,paper,subject_slug,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty
2023,Paper-I,hydraulics,"Identify the correct chezy's formula for velocity, where C-chezy's constant, m-Hydraulic mean depth, i-uniform bed slope.","V = C(mi)^0.5","V = m(Ci)^0.5","V = i(mC)^0.5","V = C(mi)^1.5",1,"Chezy's formula is V = C sqrt(m i).",medium
2023,Paper-I,hydrology,"A cross regulator helps in","increasing supply in the offtake channel","increasing supply in the parent channel","decreasing water depth in the parent channel","effective removal of silt",1,"A cross regulator raises water level in the parent channel to divert more flow into the offtake channel.",medium
2023,Paper-I,rcc,"Match the following according to IS 456:2000 A. Minimum nominal cover for a square column of size 175 mm with 10 mm diameter bar B. Minimum nominal cover for a simply supported beam under fire resistance value of 0.5 C. Minimum nominal cover for M40 concrete in severe exposure condition D. Minimum nominal cover for footing using M50 concrete","A-2, B-1, C-4, D-3","A-3, B-2, C-1, D-4","A-3, B-1, C-2, D-4","A-2, B-3, C-4, D-1",3,"Column cover 40 mm (3), beam fire 0.5h cover 20 mm (1), severe exposure M40 cover 45 mm (2), footing M50 cover 50 mm (4).",medium
2023,Paper-I,rcc,"As per IS 456:2000, what is the maximum strain in concrete at the outmost compressive fibre in bending ?",0.0015,0.0030,0.0020,0.0035,4,"IS 456 limits ultimate compressive strain in concrete to 0.0035.",medium
2023,Paper-I,rcc,"The Maximum area of reinforcement for the RCC Beam according to IS 456:2000.","4% of gross cross sectional area for HYSDB bars","0.12% of effective cross sectional area for HYSDB bars","0.8% gross cross sectional area for HYSDB bars","6% gross cross sectional area for HYSDB bars",1,"Maximum tension reinforcement is 4% of gross area for HYSD bars.",medium
2023,Paper-I,hydraulics,"For a rectangular channel (width b and depth of flow d) to be most economical, the hydraulic mean depth should be",,,,d/2,4,"For most economical rectangular channel, R = d/2.",medium
2023,Paper-I,transportation,"The most commonly used transition curve in Indian highways is","Compound curve","Simple circular curve","Spiral curve","Parabolic curve",3,"Spiral (clothoid) is the standard transition curve in India.",medium
2023,Paper-I,soil-mechanics,"As per IS classification, the size of clayey soils is","Less than 0.2mm","Less than 0.02mm","More than 0.002mm","Less than 0.002mm",4,"Clay particles are smaller than 0.002 mm.",medium
2023,Paper-I,hydraulics,"The hydraulic mean depth or the hydraulic radius is the ratio of","Wetted perimeter to diameter of the pipe","Area of flow to wetted perimeter","Velocity of flow to area of flow","Wetted perimeter to area of flow",2,"Hydraulic radius = Area / Wetted perimeter.",medium
2023,Paper-I,surveying,"Two points A and B located on a map has the following coordinates. Point A: Latitude +50m, Departure -30m. Point B: Latitude +30m, Departure +40m. The length of AB in metres is",80.6,22.4,72.8,69.4,3,"ΔLat = -20, ΔDep = +70; length = √(70²+20²)=72.8 m.",medium
2023,Paper-I,transportation,"In the flexible pavements, the Base course will be","Between sub base and wearing course","Between subgrade and sub base course","Above wearing course","Below sub base course",1,"Base course lies between subbase and wearing course.",medium
2023,Paper-I,building-materials,"Consider the following statements. A. Spirit varnish is also called French varnish and used for furniture. B. Oil varnishes use linseed oil as solvent. Choose the correct option","Statement B is false, and A is true","Statement B is true, and A is false","Both A and B are false","Both A and B are true",4,"Both statements are correct.",medium
2023,Paper-I,som,"Match the following statements with respect to a beam. A. Hooke's law B. Uniaxial stress C. Curvature D. Bending stress","A-4, B-1, C-3, D-2","A-1, B-2, C-3, D-4","A-2, B-3, C-1, D-4","A-4, B-2, C-3, D-1",3,"Hooke's law - linear elastic (2); Uniaxial stress - depends on distance from neutral axis (3); Curvature - varies linearly with M (1); Bending stress - inversely with I (4).",medium
2023,Paper-I,hydraulics,"A square lamina (each side equal to 2 m) is submerged vertically in water such that the upper edge of the lamina is at a depth of 0.5 m from the free surface. What will be the depth (in m) of the centre of pressure ?","29/18","23/18","25/18","31/18",4,"h_cp = centroid depth + (I_G)/(A*centroid depth) = 1.5 + (4/3)/(4*1.5)=1.5+2/9=31/18.",medium
2023,Paper-I,building-materials,"Consider the following statements A. English bond consist of a header and stretcher alternatively arranged in each course. B. Flemish bond consist of alternate courses of header and stretcher. Choose the correct option","Statement B is false, and A is true","Statement B is true, and A is false","Both A and B are false","Both A and B are true",1,"English bond has alternating headers and stretchers in each course; Flemish bond has both in each course, not alternate courses.",medium
2023,Paper-I,rcc,"Consider the following statements. A. Plain Cement Concrete is very weak in tension. B. Steel is very weak in Compression. Identify the correct statement","Statement B is false, and A is true","Statement B is true, and A is false","Both A and B are false","Both A and B are true",1,"Concrete is weak in tension, steel is strong in compression.",medium
2023,Paper-I,building-materials,"Before application, bricks are soaked in water","to reduce efflorescence","to prevent absorption of moisture from mortar by bricks","to reduce air content","to remove attached dust particles",2,"Soaking prevents bricks from absorbing water from mortar.",medium
2023,Paper-I,surveying,"The length of Surveyor's chain is","33 ft","100 ft","66 ft","50 ft",3,"Surveyor's chain = 66 ft (20.1168 m).",medium
2023,Paper-I,hydrology,"Which of the following is example for sub-surface source of water?","River","Ponds","Ocean","Springs",4,"Springs are groundwater sources.",medium
2023,Paper-I,som,"What is the correct increasing order of unknown reactions for the following beams with vertical loadings unless specified ? A. Propped cantilever beam B. Cantilever beam C. Beam with fixed at both ends under inclined loading D. Beam with fixed at both ends","C, A, B, D","A, B, D, C","B, A, D, C","A, B, C, D",3,"Cantilever (2) < Propped (3) < Fixed vertical (4) < Fixed inclined (6).",medium
2023,Paper-I,rcc,"Lap length for the bars in flexural tension shall be","Greater of 2L_d or 30 times diameter","L_d (Development length)","Greater of L_d or 30 times diameter","Least of L_d or 30 times diameter",3,"Lap length = max(Ld, 30φ) for flexural tension.",medium
2023,Paper-I,steel,"As per IS 800:2007, what is the partial safety factor for welds in field fabrication process?",1.10,1.20,1.25,1.50,3,"For field fabrication, γ_mw = 1.25.",medium
