year,paper,subject_slug,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty
2023,Paper-I,current-affairs,"In September 2023, which country claimed to have successfully launched an imaging satellite Noor-3 into space?","Iran","Turkey","Saudi Arabia","Qatar",1,"Iran successfully launched the Noor-3 imaging satellite in September 2023, marking another milestone in its space program.",medium
2023,Paper-I,current-affairs,"León Marchand, who made news with his record-breaking performance, is associated with which of the following sports?","Chess","Swimming","Boxing","Tennis",2,"Léon Marchand is a French swimmer who broke Michael Phelps' world record in the 400m individual medley at the 2023 World Championships.",medium
2023,Paper-I,current-affairs,"Where was India's first 3D printed post office inaugurated in August 2023?","Ahmedabad","Mumbai","Hyderabad","Bengaluru",3,"India's first 3D printed post office was inaugurated in Bengaluru (Cambridge Layout) in August 2023, constructed using 3D printing technology.",medium
2023,Paper-I,current-affairs,"Which of the following vehicle successfully launched Chandrayaan-3 into orbit?","LVM3 M4","PSLV-C57","PSLV-C48","GSLV Mk II",1,"Chandrayaan-3 was launched on July 14, 2023, using the LVM3-M4 (Launch Vehicle Mark-3) rocket from Satish Dhawan Space Centre.",medium
2023,Paper-I,current-affairs,"GPS Aided Geo Augmented Navigation (GAGAN) has been developed as a regional Satellite Based Augmentation System (SBAS) by ______. I. Airports Authority of India (AAI) II. Indian Space Research Organization (ISRO)","Only I","Only II","Both I and II","Neither I nor II",3,"GAGAN was developed jointly by AAI and ISRO to provide accurate GPS navigation signals for aviation and other applications.",medium
2023,Paper-I,current-affairs,"As of November 2023, researchers from ______ have developed a new artificial light-harvesting system that can efficiently capture light for power conversion by mimicking photosynthesis. I. IISER-Thiruvananthapuram II. IIT-Indore","Only I","Only II","Both I and II","Neither I nor II",1,"Researchers from IISER-Thiruvananthapuram developed the artificial light-harvesting system mimicking photosynthesis for efficient power conversion.",medium
2023,Paper-I,current-affairs,"Which of the following statements is/are correct regarding e-Krishi Samvad? I. This internet-based interface was launched in 2017. II. This is a unique platform that provides direct and effective solutions to the problems faced by farmers and stakeholders in the agriculture sector.","Only I","Only II","Both I and II","Neither I nor II",2,"e-Krishi Samvad was launched in 2016 (not 2017). Statement I is incorrect. It is indeed a unique platform providing solutions to farmers, so Statement II is correct.",medium
2023,Paper-I,current-affairs,"In November 2021, ______, under the aegis of Ministry of Education, conducted the National Achievement Survey throughout the country.","CBSE","NCERT","AICTE","ITI",2,"NCERT conducted the National Achievement Survey (NAS) in November 2021 under the Ministry of Education to assess learning outcomes of students.",medium
2023,Paper-I,current-affairs,"One Stop Centre (OSC) Scheme is implemented by which Ministry of the Government of India?","Ministry of Health and Family Welfare","Ministry of Women and Child Development","Ministry of Road Transport and Highways","Ministry of Social Justice and Empowerment",2,"The One Stop Centre (OSC) Scheme, also known as Sakhi, is implemented by the Ministry of Women and Child Development to support women affected by violence.",medium
2023,Paper-I,current-affairs,"Pradhan Mantri Shram Yogi Maandhan is a government scheme meant for which of the following? I. Old age protection II. Social security of Unorganized workers","Only I","Only II","Both I and II","Neither I nor II",3,"PM Shram Yogi Maandhan provides old age protection and social security to unorganized workers through a monthly pension after age 60.",medium
2023,Paper-I,current-affairs,"Which of the following Goals of the 2030 Agenda for Sustainable Development seeks to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all?","Goal 3","Goal 4","Goal 5","Goal 6",2,"Sustainable Development Goal 4 (SDG 4) aims to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all.",medium
2023,Paper-I,current-affairs,"In November 2021, the Government of India Constituted a High-Level Committee to develop a National Credit Accumulation & Transfer Framework for both Vocational and General Education under the chairmanship of ______.","Neelam Shammi Rao","Sridhar Srivastava","Manoj Ahuja","Nirmaljeet Singh Kalsi",4,"The High-Level Committee for National Credit Accumulation & Transfer Framework was chaired by Nirmaljeet Singh Kalsi in November 2021.",medium
2023,Paper-I,current-affairs,"In the context of the National Education Policy 2020, which of the following statements is/are correct regarding the new pedagogical and curricular structure? I. A strong base of Early Childhood Care and Education from age 3 is included in the 5+3+3+4 structure. II. A National Mission on Foundational Literacy and Numeracy will be set up by the Ministry of Human Resource Development.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: NEP 2020 introduces 5+3+3+4 structure with ECCE from age 3, and establishes a National Mission on Foundational Literacy and Numeracy.",medium
2023,Paper-I,current-affairs,"The Asian Games 2023 was held in ______.","Shenzhen","Hangzhou","Guangzhou","Chongqing",2,"The 19th Asian Games 2023 were held in Hangzhou, China from September to October 2023.",medium
2023,Paper-I,current-affairs,"The Indian men's hockey team won the Asian Champions Trophy 2023 after defeating ______ in the final.","Malaysia","Japan","Korea","Pakistan",1,"India defeated Malaysia 4-3 in the final of the Asian Champions Trophy 2023 held in Chennai.",medium
2023,Paper-I,current-affairs,"Sagar Kailas Owhalkar is associated with which of the following sports?","Badminton","Kabaddi","Shooting","Mallakhamb",4,"Sagar Kailas Owhalkar is a renowned Mallakhamb athlete, a traditional Indian sport involving gymnastics on a pole or rope.",medium
