year,paper,subject_slug,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty
2015,Paper-II,surveying,"The working principle of the optical square is based on",Reflection,Refraction,"Double reflection","Double refraction",3,N/A,medium
2015,Paper-II,surveying,"If the magnetic bearing of a line is 48°24′ and the magnetic declination is 5°30′ East, then the true bearing is","42°54′","37°24′","53°54′","59°24′",3,N/A,medium
2015,Paper-II,surveying,"Setting out a simple curve by two theodolite method does not require","Angular measurements","Linear measurements","Both angular and linear measurements","Any measurement",2,N/A,medium
2015,Paper-II,surveying,"Point of tangency is the","Beginning of the curve","End of the curve","Common point where the radius changes","Common point where the radius and direction changes",2,N/A,medium
2015,Paper-II,surveying,"In chain surveying, field work is limited to","Linear measurements only","Both linear and angular measurements","Angular measurements only","Vertical measurements",1,N/A,medium
2015,Paper-II,surveying,"The correction to be applied to each 30m chain length along slope is","30(1 - sec α)m","30(sec α -1)m","30(1 - cos α)m","30(cot α -1)m",2,N/A,medium
2015,Paper-II,surveying,"The correction for sag is","Always additive","Always negative","Always zero","Some times additive and some times negative",2,N/A,medium
2015,Paper-II,surveying,"Which of the following error is not eliminated by the method of repetition for horizontal angle measurement?","Error due to eccentricity of verniers","Error due to displacement of station signals","Error due to wrong adjustments of line and trunnion axis","Error due to inaccurate graduation",2,N/A,medium
2015,Paper-II,surveying,"A triangle is said to be well conditioned when its angles lie between","20° and 150°","30° and 120°","15° and 135°","25° and 130°",2,N/A,medium
2015,Paper-II,surveying,"Which of the following is not used in measuring perpendicular offsets?","Line ranger","Tape","Optical square","Cross- staff",1,N/A,medium
2015,Paper-II,building-materials,"Le Chatelier apparatus is used to determine which of the following properties of cement?",Soundness,"Initial setting time",Fineness,"Compressive strength",1,N/A,medium
2015,Paper-II,building-materials,"The carrier in case of distemper is","Linseed oil","White lead","Poppy oil",Water,4,N/A,medium
2015,Paper-II,building-materials,"As per NBC 2005, institutional buildings comes under","Group-A","Group-B","Group-C","Group-D",2,N/A,medium
2015,Paper-II,building-materials,"Queen post truss is suitable for spans up to","5 to 8 m","12 m","16 m","24 m",2,N/A,medium
2015,Paper-II,building-materials,"Dressing of stone is done","After seasoning","After quarrying","Before use","Before seasoning",2,N/A,medium
2015,Paper-II,building-materials,"Low heat cement consists lower percentage of which of the following?","C₃A","C₃S","C₂S","C₄S",1,N/A,medium
2015,Paper-II,building-materials,"Which of the following paints recommended for use on stucco plaster, brick and masonry surface?","Enamel paints","Emulsion paints","Plastic paints","Oil paints",3,N/A,medium
2015,Paper-II,building-materials,"Gypsum is added to portland cement during its manufacturing so that it may","Accelerate the setting time","Retard the setting time","Decrease the burning temperature","Facilitate grinding",2,N/A,medium
2015,Paper-II,building-materials,"Smith's test is conducted on a sample of stone to find out which of the following parameter?","Compressive strength",Toughness,"Presence of soluble matter",Hardness,3,N/A,medium
2015,Paper-II,building-materials,"Presence of which of the following is responsible for imparting yellow tint to bricks?",Silica,Alumina,Lime,Magnesia,3,N/A,medium
2015,Paper-II,som,"For a given system of coplanar concurrent forces, if ΣFx = -20 N and ΣFy = -20 N, then","R = -20√2 N and α = 45° with east","R = 20√2 N and α = 135° with east","R = 20√2 N and α = 275° with east","R = -20√2 N and α = 315° with east",3,N/A,medium
2015,Paper-II,som,"Which of the following cases gives the least moment of inertia, in case of a square?","M.I. about the base side","M.I. about the top side","M.I. about the diagonal","M.I. about one vertical side",3,N/A,medium
2015,Paper-II,som,"In a triangular section of size 'b × h', if width is reduced to half and height is doubled, then its I_XX is increased by","2 times","4 times","8 times","16 times",2,N/A,medium
2015,Paper-II,som,"A structural member is generally designed so that the material is stressed to","Yield stress","Ultimate stress","Breaking stress","Working stress",4,N/A,medium
2015,Paper-II,rcc,"In an RCC column, if A_s = 1000 mm², A_c = 10000 mm², σ_c = 5 N/mm² and m = 20, then load on the column is","75 kN","145 kN","150 kN","1005 kN",3,N/A,medium
2015,Paper-II,som,"If σ and E for a body of volume 2 × 10⁵ mm³ are 10 N/mm² and 1 × 10⁵ N/mm², Resilience of the body is","10 N mm","20 N mm","100 N mm","200 N mm",1,N/A,medium
